"STD_YM","SI_DO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","X_COORD","Y_COORD","AVG_00TMST","AVG_01TMST","AVG_02TMST","AVG_03TMST","AVG_04TMST","AVG_05TMST","AVG_06TMST","AVG_07TMST","AVG_08TMST","AVG_09TMST","AVG_10TMST","AVG_11TMST","AVG_12TMST","AVG_13TMST","AVG_14TMST","AVG_15TMST","AVG_16TMST","AVG_17TMST","AVG_18TMST","AVG_19TMST","AVG_20TMST","AVG_21TMST","AVG_22TMST","AVG_23TMST","DATA_LOAD_DT"
"201603","서울특별시","종로구","평창동","1.10106E+19","952902.3125","1956705","0.25","0.1","0.05","0.03","0.02","0.04","0.13","0.37","0.67","1.06","1.31","1.32","1.24","1.29","1.32","1.35","1.41","1.46","1.38","1.1","0.96","0.86","0.65","0.46","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952902.875","1956808","0.2","0.08","0.04","0.02","0.02","0.03","0.1","0.3","0.54","0.86","1.06","1.07","1.01","1.05","1.06","1.09","1.14","1.18","1.12","0.89","0.77","0.69","0.53","0.37","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952950.375","1956550","3.32","1.52","0.78","0.48","0.39","0.56","1.94","6.38","11.29","16.2","19.15","19.2","19.32","19.59","20.62","20.98","21.53","21.37","20.21","16.87","14.71","13.33","10.12","6.59","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952950.6875","1956602","2.99","1.38","0.7","0.43","0.35","0.51","1.75","5.76","10.19","14.62","17.28","17.32","17.43","17.67","18.6","18.93","19.43","19.28","18.24","15.22","13.27","12.03","9.13","5.94","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952951.3125","1956705","1.89","0.87","0.44","0.27","0.22","0.32","1.11","3.65","6.45","9.26","10.95","10.97","11.04","11.19","11.78","11.99","12.31","12.21","11.55","9.64","8.4","7.62","5.79","3.76","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953000.125","1956653","2.84","1.3","0.67","0.41","0.33","0.48","1.66","5.46","9.66","13.86","16.39","16.43","16.53","16.76","17.65","17.96","18.43","18.29","17.3","14.44","12.59","11.41","8.66","5.64","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953000.3125","1956704","2.36","1.09","0.55","0.34","0.28","0.4","1.38","4.54","8.04","11.54","13.65","13.68","13.77","13.96","14.69","14.95","15.34","15.23","14.4","12.02","10.48","9.5","7.21","4.69","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953001.1875","1956858","0.25","0.1","0.05","0.03","0.02","0.04","0.12","0.36","0.66","1.05","1.29","1.31","1.23","1.28","1.3","1.33","1.4","1.44","1.36","1.09","0.95","0.85","0.64","0.45","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953001.5","1956910","0.22","0.09","0.04","0.03","0.02","0.04","0.11","0.31","0.57","0.9","1.11","1.13","1.06","1.1","1.12","1.15","1.2","1.24","1.18","0.94","0.82","0.73","0.56","0.39","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953049.6875","1956755","0.31","0.13","0.06","0.04","0.03","0.05","0.16","0.46","0.83","1.31","1.62","1.64","1.54","1.6","1.63","1.68","1.75","1.81","1.71","1.37","1.19","1.06","0.81","0.57","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953050","1956807","0.3","0.12","0.06","0.03","0.03","0.05","0.15","0.43","0.79","1.25","1.54","1.56","1.47","1.53","1.55","1.6","1.67","1.72","1.63","1.3","1.13","1.01","0.77","0.54","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953050.3125","1956858","0.27","0.11","0.05","0.03","0.03","0.04","0.13","0.38","0.71","1.11","1.37","1.39","1.3","1.36","1.38","1.42","1.48","1.53","1.45","1.16","1","0.9","0.68","0.48","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953098.6875","1956755","0.32","0.13","0.06","0.04","0.03","0.05","0.16","0.46","0.84","1.32","1.63","1.65","1.55","1.61","1.64","1.68","1.76","1.81","1.72","1.37","1.19","1.07","0.81","0.57","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953099","1956806","1.94","0.89","0.45","0.28","0.23","0.33","1.13","3.73","6.6","9.47","11.19","11.21","11.29","11.45","12.05","12.26","12.58","12.49","11.81","9.86","8.59","7.79","5.92","3.85","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952607.8125","1956655","1.42","0.65","0.33","0.21","0.17","0.24","0.83","2.74","4.85","6.95","8.22","8.24","8.29","8.41","8.85","9.01","9.24","9.17","8.68","7.24","6.31","5.72","4.35","2.83","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952656.8125","1956655","1.57","0.72","0.37","0.23","0.18","0.27","0.92","3.02","5.34","7.66","9.06","9.08","9.14","9.26","9.75","9.92","10.18","10.11","9.56","7.98","6.96","6.3","4.79","3.12","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952706.1875","1956706","1.35","0.62","0.32","0.19","0.16","0.23","0.79","2.59","4.59","6.58","7.78","7.8","7.85","7.96","8.38","8.52","8.75","8.68","8.21","6.85","5.97","5.42","4.11","2.68","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952706.375","1956757","0.18","0.07","0.04","0.02","0.02","0.03","0.09","0.27","0.49","0.77","0.95","0.96","0.91","0.94","0.96","0.98","1.03","1.06","1.01","0.8","0.7","0.62","0.48","0.33","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952706.8125","1956809","0.37","0.22","0.17","0.12","0.1","0.14","0.28","0.59","1.08","1.72","2.06","2.04","1.88","1.91","1.96","2.03","2.11","2.09","1.9","1.51","1.3","1.1","0.88","0.6","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952707.625","1956963","0.14","0.06","0.03","0.02","0.01","0.02","0.07","0.2","0.37","0.58","0.72","0.73","0.68","0.71","0.72","0.74","0.78","0.8","0.76","0.61","0.53","0.47","0.36","0.25","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952756.625","1956963","0.14","0.06","0.03","0.02","0.01","0.02","0.07","0.2","0.37","0.58","0.71","0.72","0.68","0.7","0.72","0.74","0.77","0.79","0.75","0.6","0.52","0.47","0.36","0.25","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952756.875","1957014","0.94","0.42","0.22","0.14","0.11","0.16","0.53","1.75","3.1","4.5","5.36","5.38","5.37","5.45","5.71","5.82","5.99","5.98","5.65","4.69","4.09","3.7","2.81","1.84","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952803.875","1956654","0.34","0.14","0.07","0.04","0.03","0.06","0.17","0.49","0.9","1.42","1.76","1.78","1.67","1.74","1.77","1.81","1.9","1.96","1.86","1.48","1.29","1.15","0.88","0.61","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952804.8125","1956808","0.15","0.06","0.03","0.02","0.01","0.02","0.07","0.22","0.4","0.63","0.77","0.78","0.74","0.77","0.78","0.8","0.84","0.86","0.82","0.65","0.57","0.51","0.39","0.27","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952805.6875","1956962","0.94","0.43","0.22","0.14","0.11","0.16","0.55","1.81","3.2","4.58","5.42","5.43","5.47","5.54","5.84","5.94","6.09","6.05","5.72","4.77","4.16","3.77","2.87","1.86","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952806","1957014","0.8","0.37","0.19","0.11","0.09","0.14","0.47","1.53","2.71","3.89","4.6","4.61","4.64","4.71","4.95","5.04","5.17","5.13","4.86","4.05","3.53","3.2","2.43","1.58","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952852.875","1956654","0.41","0.3","0.29","0.21","0.17","0.23","0.39","0.7","1.25","2.02","2.38","2.31","2.09","2.09","2.15","2.25","2.31","2.22","1.94","1.55","1.31","1.03","0.87","0.59","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","952854.6875","1956962","1.13","0.51","0.26","0.16","0.13","0.19","0.65","2.09","3.71","5.39","6.41","6.43","6.41","6.52","6.84","6.97","7.17","7.14","6.77","5.62","4.89","4.43","3.36","2.21","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953196.375","1956703","0.15","0.06","0.04","0.03","0.03","0.07","0.2","1.2","2.19","4.03","5.51","6.28","5.19","6.7","7.24","7.58","7.48","7","6.01","3.12","1.96","1.39","0.81","0.32","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953789.8125","1957573","0.13","0.1","0.09","0.07","0.05","0.07","0.13","0.22","0.4","0.65","0.77","0.74","0.67","0.68","0.69","0.73","0.74","0.72","0.63","0.5","0.42","0.33","0.28","0.19","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953838.5","1957521","0.24","0.11","0.08","0.05","0.04","0.07","0.2","0.42","0.79","1.25","1.55","1.5","1.35","1.44","1.48","1.55","1.65","1.7","1.56","1.23","0.94","0.8","0.65","0.42","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953839.125","1957624","0.1","0.04","0.02","0.01","0.01","0.02","0.05","0.14","0.25","0.4","0.49","0.5","0.47","0.49","0.5","0.51","0.53","0.55","0.52","0.42","0.36","0.32","0.25","0.17","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953886.6875","1957367","0.28","0.13","0.09","0.06","0.05","0.08","0.23","0.49","0.91","1.45","1.81","1.75","1.57","1.68","1.72","1.8","1.92","1.98","1.81","1.43","1.1","0.93","0.75","0.48","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953887.3125","1957470","0.17","0.12","0.12","0.08","0.07","0.09","0.16","0.28","0.51","0.82","0.97","0.94","0.85","0.85","0.88","0.92","0.94","0.9","0.79","0.63","0.54","0.42","0.35","0.24","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953887.8125","1957572","0.19","0.09","0.06","0.04","0.03","0.05","0.15","0.33","0.61","0.96","1.2","1.16","1.05","1.12","1.15","1.2","1.27","1.31","1.21","0.95","0.73","0.62","0.5","0.32","2016-05-04 오후 6:20:55"
"201603","서울특별시","종로구","평창동","1.10106E+19","953888.375","1957675","0.12","0.06","0.04","0.03","0.02","0.03","0.1","0.22","0.4","0.64","0.79","0.77","0.69","0.74","0.76","0.79","0.84","0.87","0.8","0.63","0.48","0.41","0.33","0.21","2016-05-04 오후 6:20:55"
