발생날짜,사망자수
2017년 4월 30일 일요일,2
2017년 5월 1일 월요일,1
2017년 5월 3일 수요일,1
2017년 5월 4일 목요일,2
2017년 5월 6일 토요일,3
2017년 5월 7일 일요일,1
2017년 5월 13일 토요일,1
2017년 5월 15일 월요일,5
2017년 5월 16일 화요일,1
2017년 5월 18일 목요일,2
2017년 5월 21일 일요일,1
2017년 5월 22일 월요일,1
2017년 5월 23일 화요일,1
2017년 5월 24일 수요일,2
2017년 5월 26일 금요일,2
2017년 5월 28일 일요일,1
2017년 5월 29일 월요일,1
2017년 5월 31일 수요일,1
2017년 6월 1일 목요일,1
2017년 6월 2일 금요일,1
2017년 6월 3일 토요일,1
2017년 6월 4일 일요일,1
2017년 6월 5일 월요일,1
2017년 6월 9일 금요일,1
2017년 6월 12일 월요일,1
2017년 6월 15일 목요일,1
2017년 6월 16일 금요일,2
2017년 6월 17일 토요일,2
2017년 6월 18일 일요일,2
2017년 6월 20일 화요일,2
2017년 6월 21일 수요일,3
2017년 6월 22일 목요일,2
2017년 6월 23일 금요일,1
2017년 6월 26일 월요일,1
2017년 6월 27일 화요일,1
2017년 6월 28일 수요일,2
2017년 6월 29일 목요일,2
2017년 6월 30일 금요일,1
2017년 7월 2일 일요일,1
2017년 7월 3일 월요일,2
2017년 7월 5일 수요일,2
2017년 7월 6일 목요일,1
2017년 7월 9일 일요일,2
2017년 7월 11일 화요일,1
2017년 7월 12일 수요일,2
2017년 7월 13일 목요일,1
2017년 7월 14일 금요일,3
2017년 7월 15일 토요일,1
2017년 7월 18일 화요일,1
2017년 7월 20일 목요일,1
2017년 7월 22일 토요일,4
2017년 7월 23일 일요일,3
2017년 7월 25일 화요일,2
2017년 7월 26일 수요일,2
2017년 7월 28일 금요일,1
2017년 7월 29일 토요일,1
2017년 8월 1일 화요일,1
2017년 8월 2일 수요일,1
2017년 8월 3일 목요일,1
2017년 8월 6일 일요일,2
2017년 8월 10일 목요일,1
2017년 8월 12일 토요일,1
2017년 8월 13일 일요일,1
2017년 8월 14일 월요일,1
2017년 8월 15일 화요일,1
2017년 8월 21일 월요일,2
2017년 8월 23일 수요일,1
2017년 8월 24일 목요일,1
2017년 8월 25일 금요일,2
2017년 8월 26일 토요일,2
2017년 8월 27일 일요일,1
2017년 8월 28일 월요일,2
2017년 8월 30일 수요일,2
2017년 8월 31일 목요일,1
2017년 9월 2일 토요일,1
2017년 9월 3일 일요일,1
2017년 9월 5일 화요일,1
2017년 9월 6일 수요일,1
2017년 9월 7일 목요일,1
2017년 9월 9일 토요일,1
2017년 9월 11일 월요일,1
2017년 9월 12일 화요일,1
2017년 9월 13일 수요일,1
2017년 9월 16일 토요일,1
2017년 9월 18일 월요일,1
2017년 9월 19일 화요일,1
2017년 9월 22일 금요일,2
2017년 9월 23일 토요일,2
2017년 9월 24일 일요일,3
2017년 9월 25일 월요일,3
2017년 9월 26일 화요일,6
2017년 9월 27일 수요일,1
2017년 9월 29일 금요일,3
2017년 9월 30일 토요일,1
2017년 10월 2일 월요일,2
2017년 10월 4일 수요일,1
2017년 10월 6일 금요일,1
2017년 10월 9일 월요일,1
2017년 10월 10일 화요일,1
2017년 10월 11일 수요일,1
2017년 10월 13일 금요일,3
2017년 10월 15일 일요일,4
2017년 10월 16일 월요일,1
2017년 10월 17일 화요일,2
2017년 10월 20일 금요일,4
2017년 10월 23일 월요일,1
2017년 10월 24일 화요일,2
2017년 10월 25일 수요일,1
2017년 10월 30일 월요일,4
2017년 10월 31일 화요일,2
2017년 11월 2일 목요일,1
2017년 11월 3일 금요일,2
2017년 11월 4일 토요일,2
2017년 11월 5일 일요일,1
2017년 11월 6일 월요일,3
2017년 11월 7일 화요일,1
2017년 11월 8일 수요일,3
2017년 11월 9일 목요일,3
2017년 11월 13일 월요일,1
2017년 11월 14일 화요일,2
2017년 11월 16일 목요일,1
2017년 11월 21일 화요일,2
2017년 11월 23일 목요일,1
2017년 11월 24일 금요일,1
2017년 11월 27일 월요일,1
2017년 11월 30일 목요일,3
2017년 12월 1일 금요일,1
2017년 12월 2일 토요일,1
2017년 12월 3일 일요일,1
2017년 12월 4일 월요일,4
2017년 12월 7일 목요일,2
2017년 12월 9일 토요일,1
2017년 12월 10일 일요일,1
2017년 12월 12일 화요일,1
2017년 12월 13일 수요일,1
2017년 12월 14일 목요일,2
2017년 12월 15일 금요일,1
2017년 12월 16일 토요일,1
2017년 12월 17일 일요일,1
2017년 12월 18일 월요일,2
2017년 12월 19일 화요일,1
2017년 12월 22일 금요일,2
2017년 12월 23일 토요일,1
2017년 12월 27일 수요일,4
2017년 12월 28일 목요일,1
2017년 12월 29일 금요일,1
